,plate,fragment,location
97,95,73,/specific/hadar1/filesD/P95-Fg073-R-C01-R01-D07072015-T130024-LR445 _PSC.jpg
98,70,35,/specific/hadar1/filesC/P70-Fg035-R-C01-R01-D07092016-T153312-LR445 _PSC.jpg
99,73,29,/specific/hadar1/filesC/P73-Fg029-R-C01-R01-D20082015-T133751-LR445 _PSC.jpg
100,76,48,/specific/hadar1/filesD/P76-Fg048-R-C01-R01-D06082014-T094628-LR445 _PSC.jpg
101,93,11,/specific/hadar1/filesD/P93-Fg011-R-C01-R01-D26052015-T134140-LR445 _PSC.jpg
102,91,60,/specific/hadar1/filesD/P91-Fg060-R-C01-R01-D31032015-T091439-LR445 _PSC.jpg
103,69,2,/specific/hadar1/filesC/P69-Fg002-R-C01-R01-D23122015-T132055-LR445 _PSC.jpg
104,82,36,/specific/hadar1/filesD/P82-Fg036-R-C01-R01-D09102013-T111430-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
105,79,32,/specific/hadar1/filesD/P79-Fg032-R-C01-R01-D24072014-T094435-LR445 _PSC.jpg
106,78,32,/specific/hadar1/filesD/P78-Fg032-R-C01-R01-D20072014-T102925-LR445 _PSC.jpg
107,73,41,/specific/hadar1/filesC/P73-Fg041-R-C01-R01-D23082015-T091528-LR445 _PSC.jpg
108,73,34,/specific/hadar1/filesC/P73-Fg034-R-C01-R01-D20082015-T141517-LR445 _PSC.jpg
109,96,52,/specific/hadar1/filesD/P96-Fg052-R-C01-R01-D12082015-T102619-LR445 _PSC.jpg
110,96,8,/specific/hadar1/filesD/P96-Fg008-R-C01-R01-D10082015-T135829-LR445 _PSC.jpg
111,90,28,/specific/hadar1/filesD/P90-Fg028-R-C01-R01-D26042015-T152141-LR445 _PSC.jpg
112,93,40,/specific/hadar1/filesD/P93-Fg040-R-C01-R01-D27052015-T115002-LR445 _PSC.jpg
113,95,52,/specific/hadar1/filesD/P95-Fg052-R-C03-R01-D07072015-T091330-LR445 _PSC.jpg
114,70,51,/specific/hadar1/filesC/P70-Fg051-R-C01-R01-D08092016-T122246-LR445 _PSC.jpg
115,581,17,/specific/hadar1/filesC/P581-Fg017-R-C01-R01-D06022014-T142539-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
116,91,61,/specific/hadar1/filesD/P91-Fg061-R-C01-R01-D31032015-T092217-LR445 _PSC.jpg
117,43,17,/specific/hadar1/filesC/P43-Fg017-R-C01-R01-D30112015-T151353-LR445 _PSC.jpg
118,90,33,/specific/hadar1/filesD/P90-Fg033-R-C01-R01-D27042015-T093324-LR445 _PSC.jpg
119,82,47,/specific/hadar1/filesD/P82-Fg047-R-C01-R01-D09102013-T134639-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
120,567,29,/specific/hadar1/filesC/P567-Fg029-R-C01-R01-D21052014-T095454-LR445 _PSC.jpg
121,7,113,/specific/hadar1/filesC/P7-Fg113-R-C01-R01-D04042016-T101416-LR445 _PSC.jpg
122,73,7,/specific/hadar1/filesC/P73-Fg007-R-C01-R01-D20082015-T095302-LR445 _PSC.jpg
123,73,21,/specific/hadar1/filesC/P73-Fg021-R-C01-R01-D20082015-T122458-LR445 _PSC.jpg
124,93,47,/specific/hadar1/filesD/P93-Fg047-R-C01-R01-D27052015-T134826-LR445 _PSC.jpg
